universityId,province,year,track,minScore,minRank,source
tsinghua,河北,2025,物理,695,180,real:csv/sample
tsinghua,河北,2024,物理,696,170,real:csv/sample
sjtu,河北,2025,物理,678,900,real:csv/sample
sjtu,河北,2024,物理,680,850,real:csv/sample
bupt,河北,2025,物理,636,8000,real:csv/sample
bupt,河北,2024,物理,638,7500,real:csv/sample
szu,河北,2025,物理,600,26000,real:csv/sample
szu,河北,2024,物理,603,25000,real:csv/sample
hit,河北,2025,物理,615,23000,real:csv/sample
hit,河北,2024,物理,621,20000,real:csv/sample
xidian,河北,2025,物理,612,25000,real:csv/sample
xidian,河北,2024,物理,614,24000,real:csv/sample
lzu,河北,2025,物理,588,38000,real:csv/sample
lzu,河北,2024,物理,595,34000,real:csv/sample
ncu,河北,2025,物理,575,48000,real:csv/sample
ncu,河北,2024,物理,583,43000,real:csv/sample
A003,山东,2025,综合,686,140,real:sdzk/投档线
A001,山东,2025,综合,684,178,real:sdzk/投档线
E430,山东,2025,综合,678,412,real:sdzk/投档线
A358,山东,2025,综合,672,696,real:sdzk/投档线
H001,山东,2025,综合,671,819,real:sdzk/投档线
A246,山东,2025,综合,671,821,real:sdzk/投档线
H248,山东,2025,综合,666,1311,real:sdzk/投档线
A002,山东,2025,综合,665,1313,real:sdzk/投档线
G213,山东,2025,综合,665,1390,real:sdzk/投档线
H246,山东,2025,综合,663,1560,real:sdzk/投档线
H335,山东,2025,综合,662,1728,real:sdzk/投档线
A248,山东,2025,综合,655,2788,real:sdzk/投档线
A614,山东,2025,综合,650,3650,real:sdzk/投档线
A055,山东,2025,综合,649,3850,real:sdzk/投档线
A486,山东,2025,综合,648,4015,real:sdzk/投档线
E325,山东,2025,综合,648,4091,real:sdzk/投档线
A335,山东,2025,综合,645,4628,real:sdzk/投档线
A006,山东,2025,综合,645,4657,real:sdzk/投档线
A247,山东,2025,综合,643,5082,real:sdzk/投档线
A286,山东,2025,综合,642,5294,real:sdzk/投档线
P002,山东,2025,综合,641,5702,real:sdzk/投档线
A284,山东,2025,综合,638,6495,real:sdzk/投档线
A558,山东,2025,综合,635,7219,real:sdzk/投档线
A056,山东,2025,综合,633,7918,real:sdzk/投档线
H002,山东,2025,综合,631,8570,real:sdzk/投档线
A384,山东,2025,综合,630,9061,real:sdzk/投档线
A269,山东,2025,综合,628,9633,real:sdzk/投档线
A007,山东,2025,综合,628,9817,real:sdzk/投档线
A561,山东,2025,综合,628,9923,real:sdzk/投档线
A027,山东,2025,综合,623,11827,real:sdzk/投档线
A272,山东,2025,综合,620,13265,real:sdzk/投档线
H027,山东,2025,综合,619,13722,real:sdzk/投档线
A288,山东,2025,综合,618,14353,real:sdzk/投档线
A422,山东,2025,综合,618,14388,real:sdzk/投档线
Y024,山东,2025,综合,615,15539,real:sdzk/投档线
H422,山东,2025,综合,615,15712,real:sdzk/投档线
E596,山东,2025,综合,615,15875,real:sdzk/投档线
A699,山东,2025,综合,613,16919,real:sdzk/投档线
A053,山东,2025,综合,612,17600,real:sdzk/投档线
