universityId,name,category,facultyStrength,employmentOutlook,requiredSubjects,minScore,minRank
tsinghua,计算机科学与技术,工学,学科评估 A+,人工智能/互联网大厂首选,物理,,
tsinghua,电子信息类,工学,电子工程系顶尖,芯片/通信/AI硬件需求旺,物理,,
sjtu,临床医学（八年制）,医学,瑞金/仁济临床资源顶尖,长学制直博三甲就业,物理,,
sjtu,电子信息类,工学,信息学院师资强,上海集成电路与互联网旺,物理,,
bupt,通信工程,工学,信通学科 A+,运营商/华为中兴/互联网通信岗,物理,,
bupt,计算机科学与技术,工学,校招资源顶级,北京互联网大厂对口,物理,,
szu,计算机科学与技术,工学,腾讯创始团队母校产业联系强,深圳大厂实习就业便利,物理,,
szu,建筑学,工学,建筑学院有特色,粤港澳大湾区建设需求,物理,,
hit,飞行器设计与工程,工学,航天王牌国防对口,航天院所/军工稳定体面,物理,,
hit,计算机科学与技术,工学,CS实力强性价比高,深圳校区+大厂校招通道,物理,,
xidian,通信工程,工学,两电一邮信通 A+,电子通信行业认可度极高,物理,,
xidian,集成电路设计与集成系统,工学,微电子学院实力强,芯片产业紧缺人才,物理,,
lzu,化学,理学,化学学科 A 基础研究强,保研深造率高科研路径好,物理,,
lzu,大气科学,理学,大气科学全国领先,气象系统/环境领域对口,物理,,
ncu,食品科学与工程,工学,食品学科全国领先有院士团队,食品行业龙头企业对口,物理,,
ncu,材料科学与工程,工学,材料学科有特色,长珠闽就业辐射,物理,,
A001,文科试验班类(不限选考科目类专业),,,,,684,178
A001,理科试验班类(理科基础类专业),,,,,686,138
A002,法学,,,,,672,731
A002,新闻传播学类,,,,,666,1253
A002,人文科学试验班,,,,,667,1161
A002,人文科学试验班(历史政治学拔尖人才班),,,,,679,386
A002,金融学类,,,,,670,892
A002,理科试验班(金融学与数学创新人才班),,,,,671,787
A002,理科试验班(金融与大数据技术创新人才班),,,,,670,929
A002,经济学类,,,,,668,1016
A002,工商管理类(数智化方向),,,,,667,1143
A002,人力资源管理(经管交叉),,,,,669,995
A002,人工智能,,,,,675,542
A002,计算机类,,,,,670,868
A002,计算机类(图灵计算机拔尖人才班),,,,,674,603
A002,计算机类(金融与大数据技术创新人才班),,,,,672,758
A002,统计学类,,,,,668,1030
A002,统计学(统计与数科拔尖人才班),,,,,673,658
A002,数学类,,,,,666,1229
A002,数学类(财政学与数学创新人才班),,,,,667,1124
A002,数学类(经济学与数学创新人才班),,,,,668,1033
