province,year,track,score,cumulativeRank,source
河北,2025,物理,700,60,real:csv/sample
河北,2025,物理,680,520,real:csv/sample
河北,2025,物理,660,2100,real:csv/sample
河北,2025,物理,640,6200,real:csv/sample
河北,2025,物理,620,14000,real:csv/sample
河北,2025,物理,600,26500,real:csv/sample
河北,2025,物理,580,42000,real:csv/sample
河北,2025,物理,560,62000,real:csv/sample
河北,2025,物理,540,88000,real:csv/sample
河北,2025,物理,520,120000,real:csv/sample
河北,2025,物理,500,158000,real:csv/sample
河北,2025,物理,480,205000,real:csv/sample
河北,2025,物理,460,262000,real:csv/sample
河北,2025,物理,445,330000,real:csv/sample
山东,2025,综合,692,54,real:sdzk/一分一段
山东,2025,综合,691,68,real:sdzk/一分一段
山东,2025,综合,690,80,real:sdzk/一分一段
山东,2025,综合,689,93,real:sdzk/一分一段
山东,2025,综合,688,106,real:sdzk/一分一段
山东,2025,综合,687,119,real:sdzk/一分一段
山东,2025,综合,686,135,real:sdzk/一分一段
山东,2025,综合,685,155,real:sdzk/一分一段
山东,2025,综合,684,181,real:sdzk/一分一段
山东,2025,综合,683,211,real:sdzk/一分一段
山东,2025,综合,682,246,real:sdzk/一分一段
山东,2025,综合,681,289,real:sdzk/一分一段
山东,2025,综合,680,326,real:sdzk/一分一段
山东,2025,综合,679,369,real:sdzk/一分一段
山东,2025,综合,678,404,real:sdzk/一分一段
山东,2025,综合,677,442,real:sdzk/一分一段
山东,2025,综合,676,493,real:sdzk/一分一段
山东,2025,综合,675,544,real:sdzk/一分一段
山东,2025,综合,674,596,real:sdzk/一分一段
山东,2025,综合,673,659,real:sdzk/一分一段
山东,2025,综合,672,730,real:sdzk/一分一段
山东,2025,综合,671,807,real:sdzk/一分一段
山东,2025,综合,670,890,real:sdzk/一分一段
山东,2025,综合,669,975,real:sdzk/一分一段
山东,2025,综合,668,1054,real:sdzk/一分一段
山东,2025,综合,667,1150,real:sdzk/一分一段
山东,2025,综合,666,1262,real:sdzk/一分一段
山东,2025,综合,665,1361,real:sdzk/一分一段
山东,2025,综合,664,1485,real:sdzk/一分一段
山东,2025,综合,663,1593,real:sdzk/一分一段
山东,2025,综合,662,1720,real:sdzk/一分一段
山东,2025,综合,661,1842,real:sdzk/一分一段
山东,2025,综合,660,1965,real:sdzk/一分一段
山东,2025,综合,659,2098,real:sdzk/一分一段
山东,2025,综合,658,2236,real:sdzk/一分一段
山东,2025,综合,657,2386,real:sdzk/一分一段
山东,2025,综合,656,2540,real:sdzk/一分一段
山东,2025,综合,655,2709,real:sdzk/一分一段
山东,2025,综合,654,2884,real:sdzk/一分一段
山东,2025,综合,653,3048,real:sdzk/一分一段
山东,2025,综合,652,3219,real:sdzk/一分一段
山东,2025,综合,651,3436,real:sdzk/一分一段
山东,2025,综合,650,3621,real:sdzk/一分一段
山东,2025,综合,649,3794,real:sdzk/一分一段
山东,2025,综合,648,4005,real:sdzk/一分一段
山东,2025,综合,647,4203,real:sdzk/一分一段
山东,2025,综合,646,4439,real:sdzk/一分一段
山东,2025,综合,645,4673,real:sdzk/一分一段
山东,2025,综合,644,4906,real:sdzk/一分一段
山东,2025,综合,643,5151,real:sdzk/一分一段
山东,2025,综合,642,5401,real:sdzk/一分一段
山东,2025,综合,641,5631,real:sdzk/一分一段
山东,2025,综合,640,5901,real:sdzk/一分一段
山东,2025,综合,639,6173,real:sdzk/一分一段
山东,2025,综合,638,6446,real:sdzk/一分一段
山东,2025,综合,637,6730,real:sdzk/一分一段
山东,2025,综合,636,7011,real:sdzk/一分一段
山东,2025,综合,635,7293,real:sdzk/一分一段
山东,2025,综合,634,7628,real:sdzk/一分一段
山东,2025,综合,633,7943,real:sdzk/一分一段
山东,2025,综合,632,8259,real:sdzk/一分一段
山东,2025,综合,631,8601,real:sdzk/一分一段
山东,2025,综合,630,9021,real:sdzk/一分一段
山东,2025,综合,629,9387,real:sdzk/一分一段
山东,2025,综合,628,9751,real:sdzk/一分一段
山东,2025,综合,627,10176,real:sdzk/一分一段
山东,2025,综合,626,10623,real:sdzk/一分一段
山东,2025,综合,625,11058,real:sdzk/一分一段
山东,2025,综合,624,11446,real:sdzk/一分一段
山东,2025,综合,623,11839,real:sdzk/一分一段
山东,2025,综合,622,12288,real:sdzk/一分一段
